,M62-64,M65-69,M70-74,M75-79,W62-64,W65-69,W70-74,W75-79
1980,52.9,28.65,18.26,12.3,28.63,15.1,7.46,3.73
1981,49.74,28.17,16.96,11.91,27.74,15.06,7.43,4.04
1982,48.37,27.25,16.96,11.11,28.84,14.96,7.24,4.19
1983,47.61,26.42,17.33,10.61,28.96,14.94,7.49,3.9
1984,47.94,24.63,16.2,10.18,28.79,14.25,7.55,3.78
1985,46.11,24.64,14.97,9.13,28.64,13.5,7.58,3.47
1986,45.86,25.09,14.92,8.28,28.51,14.34,6.95,3.84
1987,46.34,25.87,14.77,9.71,27.88,14.27,6.8,3.64
1988,45.3,25.86,15.34,9.97,28.55,15.4,7.57,3.67
1989,45.39,26.15,15.48,9.56,30.26,16.4,7.98,3.79
1990,46.58,26.03,15.5,9.51,30.6,17.07,8.2,3.92
1991,45.61,25.13,14.84,8.8,29.13,16.96,7.99,4.56
1992,46.16,26.08,15.08,9.08,30.3,16.24,8.13,4.49
1993,46.07,25.56,14.84,8.85,31.7,16.24,7.91,4.35
1994,45.36,26.96,15.9,9.84,33.12,18.04,8.7,4.43
1995,45.11,27.12,16.96,9.96,32.51,17.7,9.42,4.86
1996,45.72,27.61,17.49,9.92,31.74,17.33,8.92,4.73
1997,46.41,28.6,17.39,10.82,33.73,17.63,9.07,4.3
1998,47.41,28.86,16.98,10.72,33.49,18.29,9.79,4.54
1999,47.28,29.33,17.88,11.17,33.73,18.89,10.12,5.44
2000,47.33,30.92,18.38,11.16,34.72,20.14,10.25,5.55
2001,49.07,30.82,18.66,11.2,36.84,20.48,11.31,5.18
2002,51.06,31.98,18.17,10.59,38.06,20.81,11.25,5.75
2003,50.05,32.84,19.08,11.8,38.59,22.82,11.36,6.2
2004,50.79,33.02,19.4,12.78,38.79,23.54,12.19,6.43
2005,52.61,33.71,21.31,13.47,40.21,23.93,12.99,7.02
2006,52.85,34.33,22.31,13.91,41.8,24.76,13.36,7.26
2007,52.19,34.09,21.88,14.28,42.18,25.9,14.36,7.97
2008,53.31,35.28,22.8,14.08,42.45,26.57,14.73,7.96
2009,55.17,35.55,23.4,14.38,44,26.73,15.11,8.3
2010,55.08,36.06,22.96,14.53,45.42,27.13,14.94,8.4
