"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","<1","Male","
0.04070
","0.0407","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","<1","Female","
0.03942
","0.03942","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","<1","Both sexes","
0.04010
","0.0401","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","1-4","Male","
0.00271
","0.00271","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","1-4","Female","
0.00262
","0.00262","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","1-4","Both sexes","
0.00267
","0.00267","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","5-9","Male","
0.00103
","0.00103","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","5-9","Female","
0.00082
","8.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","5-9","Both sexes","
0.00093
","9.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","10-14","Male","
0.00084
","8.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","10-14","Female","
0.00066
","6.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","10-14","Both sexes","
0.00076
","7.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","15-19","Male","
0.00091
","9.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","15-19","Female","
0.00070
","7.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","15-19","Both sexes","
0.00081
","8.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","20-24","Male","
0.00124
","0.00124","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","20-24","Female","
0.00100
","0.0010","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","20-24","Both sexes","
0.00112
","0.00112","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","25-29","Male","
0.00159
","0.00159","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","25-29","Female","
0.00128
","0.00128","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","25-29","Both sexes","
0.00144
","0.00144","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","30-34","Male","
0.00186
","0.00186","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","30-34","Female","
0.00146
","0.00146","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","30-34","Both sexes","
0.00167
","0.00167","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","35-39","Male","
0.00218
","0.00218","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","35-39","Female","
0.00160
","0.0016","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","35-39","Both sexes","
0.00191
","0.00191","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","40-44","Male","
0.00352
","0.00352","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","40-44","Female","
0.00247
","0.00247","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","40-44","Both sexes","
0.00301
","0.00301","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","45-49","Male","
0.00537
","0.00537","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","45-49","Female","
0.00382
","0.00382","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","45-49","Both sexes","
0.00464
","0.00464","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","50-54","Male","
0.00800
","0.0080","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","50-54","Female","
0.00564
","0.00564","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","50-54","Both sexes","
0.00689
","0.00689","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","55-59","Male","
0.01287
","0.01287","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","55-59","Female","
0.00883
","0.00883","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","55-59","Both sexes","
0.01094
","0.01094","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","60-64","Male","
0.02164
","0.02164","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","60-64","Female","
0.01490
","0.0149","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","60-64","Both sexes","
0.01835
","0.01835","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","65-69","Male","
0.03664
","0.03664","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","65-69","Female","
0.02509
","0.02509","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","65-69","Both sexes","
0.03076
","0.03076","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","China","70-74","Male","
0.05603
","0.05603","","",""
