"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","<1","Male","
0.00790
","0.0079","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","<1","Female","
0.00614
","0.00614","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","<1","Both sexes","
0.00704
","0.00704","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","1-4","Male","
0.00042
","4.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","1-4","Female","
0.00033
","3.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","1-4","Both sexes","
0.00038
","3.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","5-9","Male","
0.00024
","2.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","5-9","Female","
0.00020
","2.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","5-9","Both sexes","
0.00022
","2.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","10-14","Male","
0.00024
","2.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","10-14","Female","
0.00016
","1.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","10-14","Both sexes","
0.00020
","2.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","15-19","Male","
0.00082
","8.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","15-19","Female","
0.00032
","3.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","15-19","Both sexes","
0.00058
","5.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","20-24","Male","
0.00110
","0.0011","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","20-24","Female","
0.00041
","4.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","20-24","Both sexes","
0.00076
","7.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","25-29","Male","
0.00113
","0.00113","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","25-29","Female","
0.00043
","4.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","25-29","Both sexes","
0.00079
","7.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","30-34","Male","
0.00147
","0.00147","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","30-34","Female","
0.00063
","6.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","30-34","Both sexes","
0.00106
","0.00106","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","35-39","Male","
0.00203
","0.00203","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","35-39","Female","
0.00104
","0.00104","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","35-39","Both sexes","
0.00154
","0.00154","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","40-44","Male","
0.00282
","0.00282","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","40-44","Female","
0.00151
","0.00151","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","40-44","Both sexes","
0.00218
","0.00218","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","45-49","Male","
0.00480
","0.0048","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","45-49","Female","
0.00244
","0.00244","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","45-49","Both sexes","
0.00364
","0.00364","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","50-54","Male","
0.00754
","0.00754","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","50-54","Female","
0.00350
","0.0035","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","50-54","Both sexes","
0.00554
","0.00554","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","55-59","Male","
0.01253
","0.01253","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","55-59","Female","
0.00570
","0.0057","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Europe","Germany","55-59","Both sexes","
0.00909
","0.00909","","",""
