"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","<1","Both sexes","
0.00462
","0.00462","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","35-39","Male","
0.00121
","0.00121","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","10-14","Both sexes","
0.00012
","1.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","70-74","Male","
0.03327
","0.03327","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","85-89","Both sexes","
0.10028
","0.10028","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","65-69","Both sexes","
0.01256
","0.01256","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","15-19","Male","
0.00063
","6.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","50-54","Female","
0.00226
","0.00226","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","70-74","Male","
0.02267
","0.02267","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","30-34","Male","
0.00078
","7.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","15-19","Both sexes","
0.00044
","4.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","30-34","Female","
0.00044
","4.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","30-34","Both sexes","
0.00062
","6.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","45-49","Both sexes","
0.00223
","0.00223","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","35-39","Both sexes","
0.00096
","9.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","50-54","Male","
0.00392
","0.00392","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","90-94","Female","
0.15223
","0.15223","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","80-84","Female","
0.03530
","0.0353","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","70-74","Both sexes","
0.01579
","0.01579","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","1-4","Male","
0.00033
","3.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","85-89","Female","
0.11754
","0.11754","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","5-9","Both sexes","
0.00012
","1.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","15-19","Female","
0.00019
","1.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","75-79","Both sexes","
0.04135
","0.04135","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","100+","Male","
0.51613
","0.51613","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","<1","Male","
0.00504
","0.00504","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","60-64","Male","
0.01130
","0.0113","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","20-24","Female","
0.00033
","3.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","25-29","Female","
0.00035
","3.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","5-9","Female","
0.00015
","1.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","40-44","Male","
0.00176
","0.00176","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","40-44","Female","
0.00091
","9.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","45-49","Female","
0.00166
","0.00166","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","25-29","Both sexes","
0.00050
","5.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","20-24","Male","
0.00068
","6.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","65-69","Female","
0.00940
","0.0094","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","50-54","Both sexes","
0.00298
","0.00298","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","55-59","Both sexes","
0.00616
","0.00616","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","60-64","Female","
0.00415
","0.00415","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","10-14","Male","
0.00015
","1.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","1-4","Female","
0.00030
","3.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","100+","Female","
0.43230
","0.4323","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","80-84","Male","
0.07926
","0.07926","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","70-74","Female","
0.01245
","0.01245","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","90-94","Male","
0.24442
","0.24442","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","85-89","Male","
0.12159
","0.12159","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","95-99","Both sexes","
0.33928
","0.33928","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","90-94","Both sexes","
0.14922
","0.14922","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","<1","Female","
0.00301
","0.00301","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","<1","Male","
0.00262
","0.00262","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","85-89","Female","
0.07195
","0.07195","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","30-34","Both sexes","
0.00065
","6.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","50-54","Female","
0.00248
","0.00248","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","1-4","Male","
0.00049
","4.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","85-89","Male","
0.13416
","0.13416","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","50-54","Both sexes","
0.00345
","0.00345","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","90-94","Female","
0.20077
","0.20077","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","65-69","Female","
0.00625
","0.00625","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","70-74","Female","
0.01690
","0.0169","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","70-74","Both sexes","
0.01978
","0.01978","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","65-69","Male","
0.01820
","0.0182","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","55-59","Male","
0.00871
","0.00871","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","10-14","Female","
0.00012
","1.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","1-4","Female","
0.00027
","2.7E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","90-94","Male","
0.19880
","0.1988","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","95-99","Both sexes","
0.25539
","0.25539","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","55-59","Male","
0.00616
","0.00616","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","45-49","Female","
0.00142
","0.00142","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","100+","Both sexes","
0.52372
","0.52372","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","5-9","Female","
0.00013
","1.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","95-99","Male","
0.36923
","0.36923","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","20-24","Male","
0.00078
","7.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","1-4","Both sexes","
0.00045
","4.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","15-19","Male","
0.00037
","3.7E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","<1","Both sexes","
0.00247
","0.00247","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","95-99","Female","
0.26644
","0.26644","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","40-44","Both sexes","
0.00144
","0.00144","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","25-29","Male","
0.00067
","6.7E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","35-39","Both sexes","
0.00083
","8.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","75-79","Female","
0.02241
","0.02241","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","75-79","Both sexes","
0.02697
","0.02697","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","90-94","Both sexes","
0.16842
","0.16842","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","60-64","Both sexes","
0.00931
","0.00931","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","75-79","Male","
0.03869
","0.03869","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","55-59","Both sexes","
0.00454
","0.00454","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","55-59","Female","
0.00320
","0.0032","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","75-79","Male","
0.05635
","0.05635","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","15-19","Both sexes","
0.00029
","2.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","25-29","Female","
0.00038
","3.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","80-84","Both sexes","
0.07399
","0.07399","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","40-44","Male","
0.00183
","0.00183","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","35-39","Male","
0.00103
","0.00103","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","35-39","Female","
0.00062
","6.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","45-49","Male","
0.00297
","0.00297","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","20-24","Female","
0.00029
","2.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","20-24","Both sexes","
0.00055
","5.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","30-34","Female","
0.00046
","4.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","10-14","Both sexes","
0.00011
","1.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","5-9","Male","
0.00014
","1.4E-4","","",""
