"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","<1","Male","
0.01047
","0.01047","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","<1","Female","
0.00844
","0.00844","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","<1","Both sexes","
0.00948
","0.00948","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","1-4","Male","
0.00053
","5.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","1-4","Female","
0.00043
","4.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","1-4","Both sexes","
0.00048
","4.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","5-9","Male","
0.00026
","2.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","5-9","Female","
0.00019
","1.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","5-9","Both sexes","
0.00022
","2.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","10-14","Male","
0.00032
","3.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","10-14","Female","
0.00020
","2.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","10-14","Both sexes","
0.00026
","2.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","15-19","Male","
0.00127
","0.00127","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","15-19","Female","
0.00046
","4.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","15-19","Both sexes","
0.00088
","8.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","20-24","Male","
0.00166
","0.00166","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","20-24","Female","
0.00051
","5.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","20-24","Both sexes","
0.00110
","0.0011","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","25-29","Male","
0.00185
","0.00185","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","25-29","Female","
0.00064
","6.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","25-29","Both sexes","
0.00125
","0.00125","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","30-34","Male","
0.00223
","0.00223","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","30-34","Female","
0.00084
","8.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","30-34","Both sexes","
0.00154
","0.00154","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","35-39","Male","
0.00281
","0.00281","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","35-39","Female","
0.00115
","0.00115","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","35-39","Both sexes","
0.00197
","0.00197","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","40-44","Male","
0.00344
","0.00344","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","40-44","Female","
0.00164
","0.00164","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","40-44","Both sexes","
0.00253
","0.00253","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","45-49","Male","
0.00491
","0.00491","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","45-49","Female","
0.00268
","0.00268","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","45-49","Both sexes","
0.00377
","0.00377","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","50-54","Male","
0.00757
","0.00757","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","50-54","Female","
0.00433
","0.00433","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","50-54","Both sexes","
0.00590
","0.0059","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","55-59","Male","
0.01209
","0.01209","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","55-59","Female","
0.00682
","0.00682","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","55-59","Both sexes","
0.00934
","0.00934","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","60-64","Male","
0.01903
","0.01903","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","60-64","Female","
0.01069
","0.01069","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","60-64","Both sexes","
0.01458
","0.01458","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","65-69","Male","
0.02849
","0.02849","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","65-69","Female","
0.01601
","0.01601","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","65-69","Both sexes","
0.02160
","0.0216","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","70-74","Male","
0.04347
","0.04347","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","70-74","Female","
0.02465
","0.02465","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","70-74","Both sexes","
0.03269
","0.03269","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","75-79","Male","
0.06399
","0.06399","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","75-79","Female","
0.03784
","0.03784","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","75-79","Both sexes","
0.04811
","0.04811","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","80-84","Male","
0.09981
","0.09981","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","80-84","Female","
0.06066
","0.06066","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","80-84","Both sexes","
0.07402
","0.07402","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","85-89","Male","
0.15354
","0.15354","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","85-89","Female","
0.11033
","0.11033","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","85-89","Both sexes","
0.12299
","0.12299","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","90-94","Male","
0.22823
","0.22823","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","90-94","Female","
0.17842
","0.17842","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","90-94","Both sexes","
0.19051
","0.19051","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","95-99","Male","
0.34469
","0.34469","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","95-99","Female","
0.29150
","0.2915","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","95-99","Both sexes","
0.30249
","0.30249","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","100+","Male","
0.52898
","0.52898","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","100+","Female","
0.48118
","0.48118","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Americas","United States of America","100+","Both sexes","
0.49008
","0.49008","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","<1","Male","
0.00785
","0.00785","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","<1","Female","
0.00641
","0.00641","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","<1","Both sexes","
0.00715
","0.00715","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","1-4","Male","
0.00039
","3.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","1-4","Female","
0.00032
","3.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","1-4","Both sexes","
0.00035
","3.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","5-9","Male","
0.00018
","1.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","5-9","Female","
0.00014
","1.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","5-9","Both sexes","
0.00016
","1.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","10-14","Male","
0.00024
","2.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","10-14","Female","
0.00016
","1.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","10-14","Both sexes","
0.00020
","2.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","15-19","Male","
0.00093
","9.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","15-19","Female","
0.00039
","3.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","15-19","Both sexes","
0.00067
","6.7E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","20-24","Male","
0.00138
","0.00138","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","20-24","Female","
0.00047
","4.7E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","20-24","Both sexes","
0.00094
","9.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","25-29","Male","
0.00129
","0.00129","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","25-29","Female","
0.00053
","5.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","25-29","Both sexes","
0.00091
","9.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","30-34","Male","
0.00148
","0.00148","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","30-34","Female","
0.00074
","7.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","30-34","Both sexes","
0.00111
","0.00111","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","35-39","Male","
0.00205
","0.00205","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","35-39","Female","
0.00113
","0.00113","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","35-39","Both sexes","
0.00159
","0.00159","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","40-44","Male","
0.00306
","0.00306","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","40-44","Female","
0.00173
","0.00173","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","40-44","Both sexes","
0.00239
","0.00239","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","45-49","Male","
0.00456
","0.00456","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","45-49","Female","
0.00252
","0.00252","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","45-49","Both sexes","
0.00353
","0.00353","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","50-54","Male","
0.00642
","0.00642","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","50-54","Female","
0.00381
","0.00381","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","50-54","Both sexes","
0.00509
","0.00509","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","55-59","Male","
0.00990
","0.0099","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","55-59","Female","
0.00608
","0.00608","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","55-59","Both sexes","
0.00793
","0.00793","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","60-64","Male","
0.01536
","0.01536","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","60-64","Female","
0.00974
","0.00974","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","60-64","Both sexes","
0.01241
","0.01241","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","65-69","Male","
0.02363
","0.02363","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","65-69","Female","
0.01516
","0.01516","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","65-69","Both sexes","
0.01907
","0.01907","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","70-74","Male","
0.03677
","0.03677","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","70-74","Female","
0.02341
","0.02341","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","70-74","Both sexes","
0.02930
","0.0293","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","75-79","Male","
0.05537
","0.05537","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","75-79","Female","
0.03691
","0.03691","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","75-79","Both sexes","
0.04450
","0.0445","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","80-84","Male","
0.09034
","0.09034","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","80-84","Female","
0.05994
","0.05994","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","80-84","Both sexes","
0.07118
","0.07118","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","85-89","Male","
0.14407
","0.14407","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","85-89","Female","
0.11007
","0.11007","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","85-89","Both sexes","
0.12069
","0.12069","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","90-94","Male","
0.21994
","0.21994","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","90-94","Female","
0.17901
","0.17901","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","90-94","Both sexes","
0.18896
","0.18896","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","95-99","Male","
0.33805
","0.33805","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","95-99","Female","
0.29308
","0.29308","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","95-99","Both sexes","
0.30159
","0.30159","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","100+","Male","
0.52313
","0.52313","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","100+","Female","
0.48305
","0.48305","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Americas","United States of America","100+","Both sexes","
0.48894
","0.48894","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Americas","United States of America","<1","Male","
0.00703
","0.00703","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Americas","United States of America","<1","Female","
0.00582
","0.00582","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Americas","United States of America","<1","Both sexes","
0.00644
","0.00644","","",""
