country,isocode,year,POP,XRAT,Currency_Unit,ppp,tcgdp,cgdp,cgdp2,cda2,cc,cg,ci,p,p2,pc,pg,pi,openc,y,y2,rgdpl,rgdpl2,rgdpch,kc,kg,ki,openk,rgdpeqa,rgdpwok,rgdpl2wok,rgdptt,grgdpch,grgdpl2,grtgdp,grda
Afghanistan,AFG,1950,8150.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1951,8284.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1952,8425.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1953,8573.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1954,8728.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1955,8891.209,0.0168,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1956,9061.938,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1957,9240.934,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1958,9428.556,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1959,9624.606,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1960,9829.45,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1961,10043.473,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1962,10267.083,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1963,10500.711,0.03517833,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1964,10744.167,0.045,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1965,10997.885,0.045,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1966,11262.324,0.045,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1967,11537.966,0.045,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1968,11825.32,0.045,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1969,12122.74,0.045,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1970,12430.623,0.044998427,Afghani,0.025580262,3076.479539,247.4919832,267.4224157,272.801584,82.0280924,5.275173912,14.70822114,56.84701322,56.49740286,63.84437322,49.26175696,21.11746535,21.72810904,4.926268999,5.322979512,1040.609016,1080.039411,1041.175816,81.17934324,5.057904551,14.51576798,7.261797899,1330.006919,3753.620922,3893.73098,1026.507679,,,,
Afghanistan,AFG,1971,12749.385,0.044998427,Afghani,0.026773796,3077.524605,241.3861221,264.3032269,276.8746683,82.57722928,5.726124542,16.45309258,59.49940349,59.6185849,68.47971259,49.00939025,19.74926132,27.06314058,4.484430745,4.91018086,981.9173847,1017.62442,982.5755639,80.33484666,5.364406322,15.99871256,10.38489871,1256.315378,3549.145425,3675.744834,949.6678604,-5.628276345,-5.778955021,-3.362817974,-4.92504242
Afghanistan,AFG,1972,13079.46,0.044998427,Afghani,0.022875891,3138.565936,239.9614308,258.6574567,266.7597152,82.11183277,6.108338826,14.91225636,50.83709081,50.32720352,57.09128372,38.1430214,22.31571222,32.86907803,4.099599028,4.419009566,929.6147891,960.2553329,930.4053343,80.44498053,5.814689892,14.4133335,11.3482491,1190.658921,3367.155077,3475.182805,906.0568283,-5.309538678,-5.637550121,-3.194554977,-6.553761535
Afghanistan,AFG,1973,13421.301,0.044998427,Afghani,0.0213208,3658.271491,272.5720473,289.0834039,294.0551869,82.20464582,5.741643283,13.77355468,47.38121123,46.6239137,51.88216064,36.91667039,25.13855962,27.69230755,4.207259928,4.462119404,995.2989085,1029.336101,995.919603,81.07701519,5.550580405,13.11925367,11.95848331,1275.566702,3611.186351,3732.353964,975.512551,7.041476039,7.193999928,9.995591441,6.239429791
Afghanistan,AFG,1974,13772.076,0.044998427,Afghani,0.021706356,4468.580927,324.4667635,344.090007,346.8036371,79.55526333,5.35727949,15.8760968,48.23803356,47.56936914,53.17961145,39.22977801,26.6252106,28.86597996,4.658303383,4.940030301,1059.086472,1097.648933,1060.519461,79.52159825,5.19937401,15.4479503,15.56173988,1359.404275,3852.836342,3987.726634,1052.298573,6.486453114,6.636591518,9.423612715,7.072488148
Afghanistan,AFG,1975,14132.019,0.044998427,Afghani,0.020736515,5135.688432,363.4079768,390.9493738,396.8105705,77.09100606,6.994040487,17.41417485,46.08275512,45.6085229,52.29711698,28.62258557,25.84159027,26.94835632,4.823315246,5.188857142,1087.81782,1116.089782,1090.234899,76.92758742,6.836237755,16.93683246,16.10390761,1398.599515,3968.440861,4062.552299,1078.601838,2.801970075,1.680031572,4.337511505,2.207827256
Afghanistan,AFG,1976,14501.369,0.044998427,Afghani,0.019362992,5938.957236,409.544591,442.8938439,449.635742,70.90118607,6.60450466,24.0165472,43.03037576,43.18669766,50.88087613,27.12673343,24.46055823,28.08695674,4.924925374,5.32596249,1162.776371,1193.6758,1167.141336,70.61229587,6.540231288,23.01366201,18.6824708,1498.427877,4256.599761,4353.371755,1146.176094,7.054116204,6.95159291,9.746846076,6.398131349
Afghanistan,AFG,1977,14880.372,0.044998427,Afghani,0.020265612,6557.677836,440.6931383,475.660421,489.618483,74.45276137,6.974154131,21.50754391,45.03626798,44.93636607,52.29254015,27.74366665,25.99743664,26.48607977,4.809630715,5.191256164,1171.521331,1202.178609,1174.899191,73.91885307,6.824866222,20.96756996,20.22497171,1509.54255,4293.200091,4392.881835,1155.860755,0.664688586,0.712321464,3.344505499,2.226358002
Afghanistan,AFG,1978,15269.281,0.044998427,Afghani,0.019953374,7442.090085,487.3896868,527.4439314,542.1539135,71.78984041,7.079582969,23.91949525,44.34238081,44.52144964,52.46309865,26.43821735,25.71625798,24.71380514,4.75580214,5.146639424,1204.879248,1235.279248,1208.818846,71.90320438,6.935332118,22.9976694,20.42757941,1554.272912,4425.726163,4522.602958,1191.733268,2.887026842,2.753387808,5.438919951,2.878073581
Afghanistan,AFG,1979,15555.612,0.043730753,Afghani,0.020580283,7857.700962,505.136086,546.6518012,559.8377181,72.29804947,7.071573879,23.04250021,47.06135173,47.13130863,55.37600842,28.14805581,27.19048852,26.42894731,4.460049361,4.826608282,1147.549062,1176.016538,1150.948497,72.31082055,6.977720193,22.16114977,21.95159312,1480.911795,4222.052576,4314.010287,1135.207295,-4.787346702,-4.797515216,-3.012269227,-5.149570008
