id,model_id,customer_id,revenue,payment_type,salesman_id,date
54858,36,237906,21222,finance,492, 1/7/14
43161,20,967016,19140,finance,215, 1/26/14
40112,46,819010,14720,cash,862, 1/17/14
92495,31,633030,19010,finance,803, 1/13/14
78000,51,341877,22022,finance,862, 1/12/14
13154,75,720210,21409,cash,492, 1/20/14
36535,31,908558,19894,finance,862, 1/30/14
22813,46,705508,12960,finance,225, 1/29/14
56245,36,248621,25938,cash,276, 1/19/14
88118,51,341344,19844,finance,492, 1/23/14
84469,31,733566,21441,finance,215, 1/20/14
37412,31,750195,17462,cash,276, 1/11/14
68513,31,461723,17020,cash,803, 1/18/14
74380,20,468665,18040,finance,215, 1/5/14
24047,75,556188,18671,finance,862, 1/12/14
40603,51,241759,22506,finance,862, 1/4/14
69883,20,161369,20460,finance,803, 1/25/14
43338,46,731692,13440,finance,225, 1/29/14
39727,51,656750,18634,finance,492, 1/1/14
21022,22,619020,17312,cash,862, 1/14/14
18303,36,413891,23318,cash,492, 1/17/14
28176,20,965672,21780,cash,813, 1/11/14
62604,75,217720,19418,cash,862, 1/30/14
83930,22,946265,17756,cash,862, 1/13/14
87626,31,140795,21441,finance,215, 1/13/14
10682,31,145479,17905,cash,147, 1/20/14
23444,20,961650,16720,finance,276, 1/1/14
87998,31,457742,20778,cash,680, 1/3/14
95912,75,978159,19667,cash,813, 1/25/14
74410,20,474218,19360,finance,276, 1/6/14
79524,22,184620,17977,cash,949, 1/8/14
50780,19,665730,17462,finance,949, 1/16/14
82630,46,618295,15040,cash,215, 1/16/14
38626,31,418694,20115,finance,225, 1/27/14
70434,46,944843,13600,cash,949, 1/25/14
12140,75,257329,19418,finance,803, 1/10/14
97589,22,510787,18199,finance,225, 1/14/14
83753,36,573367,20960,cash,680, 1/12/14
42464,22,821278,17534,cash,862, 1/8/14
46731,19,337268,18008,finance,276, 1/28/14
11775,51,987392,23958,finance,225, 1/2/14
98512,36,321846,23056,cash,680, 1/4/14
47952,36,526172,22008,cash,813, 1/7/14
65735,22,718125,16646,cash,147, 1/2/14
91723,36,490244,24628,cash,215, 1/9/14
92680,36,903360,22270,cash,803, 1/3/14
60017,51,789478,18150,finance,680, 1/16/14
26310,19,233890,15097,cash,813, 1/19/14
18127,75,449731,19418,finance,680, 1/22/14
88487,19,569312,14006,finance,813, 1/1/14
96450,51,708477,20570,finance,680, 1/19/14
35280,46,594199,12800,finance,813, 1/13/14
60794,75,425835,21409,finance,803, 1/26/14
97127,75,397453,22654,cash,949, 1/13/14
62326,36,962032,21484,cash,147, 1/17/14
59842,19,541659,16371,cash,215, 1/19/14
30338,22,210351,17090,finance,492, 1/17/14
40705,36,342716,24366,cash,225, 1/28/14
91458,51,878519,18876,cash,225, 1/5/14
82151,75,494275,21409,cash,215, 1/28/14
92271,31,230891,20557,cash,492, 1/26/14
48701,75,914253,22405,finance,225, 1/11/14
89535,20,657860,21780,cash,215, 1/12/14
57313,46,887190,15360,finance,276, 1/25/14
98201,19,697575,13642,cash,680, 1/4/14
39151,19,139484,16371,cash,276, 1/15/14
30046,46,982483,12640,cash,803, 1/29/14
95766,51,560802,22506,finance,680, 1/8/14
37050,36,513614,25937,cash,276, 1/2/14
12881,46,628979,14080,finance,813, 1/5/14
61014,36,253239,20174,finance,680, 1/21/14
18946,20,614301,18480,cash,225, 1/28/14
75834,51,168495,23474,cash,215, 1/10/14
57366,31,699431,19231,cash,225, 1/12/14
57711,22,528354,18865,cash,813, 1/4/14
65870,36,751098,24104,cash,862, 1/23/14
22147,36,480153,20436,finance,492, 1/23/14
99759,51,208677,22990,cash,492, 1/16/14
64406,20,349494,19580,cash,147, 1/16/14
55585,22,206310,17756,finance,949, 1/1/14
24710,75,185223,18920,cash,276, 1/16/14
53831,75,656181,24646,finance,949, 1/18/14
97494,19,393613,14006,cash,680, 1/14/14
13004,36,488910,24890,finance,225, 1/12/14
30779,75,846630,23401,finance,147, 1/25/14
29708,51,534633,20328,finance,276, 1/29/14
14082,46,909110,15200,cash,813, 1/28/14
82119,19,628031,16189,cash,492, 1/12/14
31815,46,743097,15040,cash,215, 1/25/14
32345,22,476047,20197,finance,803, 1/19/14
63526,51,862765,23232,finance,225, 1/23/14
20256,19,597655,16734,cash,492, 1/16/14
15930,36,486534,20960,cash,949, 1/26/14
68446,75,339830,24148,cash,215, 1/22/14
68330,20,283797,19140,cash,215, 1/9/14
85407,22,635204,21751,finance,949, 1/18/14
42428,75,619016,20413,cash,680, 1/11/14
37620,51,183947,20328,finance,276, 1/3/14
96344,20,731677,17600,finance,813, 1/15/14
53062,31,907549,19894,finance,680, 1/28/14
