id,book,revenue,date
1,Absalom! Absalom!,6.44,1/1/16
2,For Whom the Bell Tolls,19.74,1/1/16
3,Macbeth,8.9,1/1/16
4,For Whom the Bell Tolls,19.26,1/1/16
5,The Sound and the Fury,10.64,1/1/16
6,The Sun Also Rises,13.6,1/2/16
7,The Sound and the Fury,12.52,1/2/16
8,Absalom! Absalom!,6.31,1/2/16
9,Hamlet,10.34,1/3/16
10,The Sun Also Rises,14.51,1/3/16
11,Pride and Prejudice,14.84,1/3/16
12,The Sound and the Fury,11.61,1/3/16
13,Macbeth,8.64,1/3/16
14,For Whom the Bell Tolls,15.82,1/4/16
15,Hamlet,8.06,1/4/16
16,The Sound and the Fury,12.21,1/4/16
17,Macbeth,10.38,1/4/16
18,Macbeth,8.24,1/4/16
19,Sense and Sensibility,15.9,1/4/16
20,The Sun Also Rises,15.41,1/4/16
21,Emma,16.25,1/5/16
22,For Whom the Bell Tolls,15.95,1/5/16
23,Hamlet,8.29,1/5/16
24,For Whom the Bell Tolls,18.94,1/5/16
25,Emma,18.21,1/6/16
26,Sense and Sensibility,12.88,1/6/16
27,Romeo and Juliet,10.74,1/7/16
28,Absalom! Absalom!,6.24,1/8/16
29,A Farewell to Arms,14.52,1/9/16
30,Hamlet,7.67,1/9/16
31,Emma,14.36,1/9/16
32,For Whom the Bell Tolls,16.9,1/9/16
33,Emma,15.63,1/9/16
34,Pride and Prejudice,15.57,1/10/16
35,For Whom the Bell Tolls,16.76,1/10/16
36,The Sun Also Rises,15.08,1/10/16
37,Romeo and Juliet,10.92,1/10/16
38,The Sun Also Rises,13.62,1/11/16
39,A Farewell to Arms,13.01,1/11/16
40,Sense and Sensibility,15.15,1/11/16
41,A Farewell to Arms,14.28,1/11/16
42,Macbeth,8.14,1/12/16
43,For Whom the Bell Tolls,16.07,1/12/16
44,Hamlet,9.26,1/12/16
45,Pride and Prejudice,16.93,1/13/16
46,The Sound and the Fury,12.61,1/13/16
47,For Whom the Bell Tolls,18.34,1/13/16
48,The Sound and the Fury,10.77,1/13/16
49,Sense and Sensibility,13.86,1/13/16
50,Sense and Sensibility,16.48,1/13/16
51,Pride and Prejudice,17.54,1/13/16
52,Macbeth,9.62,1/14/16
53,A Farewell to Arms,12.23,1/14/16
54,The Sun Also Rises,14.7,1/14/16
55,The Sound and the Fury,10.29,1/14/16
56,For Whom the Bell Tolls,16.93,1/14/16
57,A Farewell to Arms,14.92,1/14/16
58,The Sun Also Rises,13.87,1/14/16
59,Pride and Prejudice,17.59,1/15/16
60,The Sun Also Rises,15.05,1/15/16
61,Sense and Sensibility,12.75,1/15/16
62,Emma,13.82,1/15/16
63,Sense and Sensibility,12.28,1/15/16
64,Pride and Prejudice,18.82,1/15/16
65,Macbeth,8.08,1/15/16
66,The Sun Also Rises,16.82,1/16/16
67,Romeo and Juliet,10.95,1/16/16
68,Macbeth,9.06,1/16/16
69,The Sound and the Fury,9.97,1/17/16
70,The Sound and the Fury,11.56,1/18/16
71,Pride and Prejudice,14.63,1/18/16
72,The Sound and the Fury,10.06,1/18/16
73,A Farewell to Arms,13.56,1/19/16
74,Absalom! Absalom!,6.92,1/19/16
75,A Farewell to Arms,14.84,1/19/16
76,Emma,14.99,1/19/16
77,Hamlet,9.91,1/19/16
78,The Sun Also Rises,15.35,1/20/16
79,The Sun Also Rises,15.32,1/20/16
80,Romeo and Juliet,9.14,1/20/16
81,The Sound and the Fury,9.83,1/21/16
82,Romeo and Juliet,10.28,1/21/16
83,The Sound and the Fury,10.77,1/22/16
84,Sense and Sensibility,16.18,1/23/16
85,For Whom the Bell Tolls,15.58,1/23/16
86,For Whom the Bell Tolls,17.31,1/23/16
87,Emma,17.26,1/23/16
88,Emma,18.18,1/24/16
89,Macbeth,8.19,1/25/16
90,A Farewell to Arms,13.3,1/25/16
91,Pride and Prejudice,18.62,1/26/16
92,The Sound and the Fury,11.11,1/26/16
93,Hamlet,9.21,1/27/16
94,Macbeth,8.68,1/27/16
95,Hamlet,7.96,1/28/16
96,Emma,14.01,1/28/16
97,Hamlet,8.78,1/28/16
98,Hamlet,9,1/29/16
99,Romeo and Juliet,8.98,1/29/16
100,Macbeth,9.55,1/30/16
